Rank,Bib,Age,M/F,State,Country,5K,10K,15K,20K,25K,30K,35K,40K,Official Time
0,11,24,M,,KEN,0:15:25,0:30:28,0:45:44,1:01:15,1:16:59,1:33:01,1:48:19,2:02:53,2:09:37
1,17,30,M,OR,USA,0:15:24,0:30:27,0:45:44,1:01:15,1:16:59,1:33:01,1:48:19,2:03:14,2:09:58
2,23,25,M,,JPN,0:15:25,0:30:29,0:45:44,1:01:16,1:17:00,1:33:01,1:48:31,2:03:38,2:10:28
3,21,32,M,CA,USA,0:15:25,0:30:29,0:45:44,1:01:19,1:17:00,1:33:01,1:48:58,2:04:35,2:12:08
4,9,31,M,,KEN,0:15:25,0:30:28,0:45:44,1:01:15,1:16:59,1:33:01,1:48:41,2:05:00,2:12:35
5,15,40,M,AZ,USA,0:15:25,0:30:28,0:45:44,1:01:15,1:16:59,1:33:01,1:48:52,2:05:21,2:12:45
6,63,33,M,CO,USA,0:15:25,0:30:29,0:45:44,1:01:15,1:17:00,1:33:01,1:49:06,2:05:41,2:13:16
7,7,28,M,,ETH,0:15:24,0:30:28,0:46:13,1:02:35,1:18:36,1:34:52,1:51:11,2:07:09,2:14:26
8,18,27,M,OR,USA,0:15:24,0:30:29,0:45:47,1:01:28,1:17:26,1:34:05,1:50:53,2:07:17,2:14:45
9,20,28,M,UT,USA,0:15:25,0:30:30,0:45:47,1:01:28,1:17:17,1:33:49,1:50:44,2:07:54,2:15:28
10,22,32,M,MA,USA,0:15:25,0:30:31,0:46:03,1:02:11,1:18:20,1:34:58,1:51:55,2:08:10,2:15:34
11,6,32,M,,ETH,0:15:24,0:30:27,0:45:44,1:01:15,1:17:30,1:34:33,1:52:00,2:08:57,2:16:47
12,14,41,M,CA,USA,0:15:24,0:30:27,0:45:45,1:01:28,1:17:43,1:34:43,1:51:57,2:09:09,2:17:00
13,16,34,M,,ZIM,0:15:26,0:31:13,0:47:10,1:03:28,1:19:54,1:36:39,1:53:55,2:10:20,2:17:40
14,10,34,M,,KEN,0:15:24,0:30:28,0:45:44,1:01:15,1:17:08,1:34:17,1:51:50,2:09:58,2:18:14
15,35,32,M,AZ,USA,0:16:23,0:32:47,0:49:12,1:05:49,1:22:17,1:38:51,1:55:17,2:11:14,2:18:20
16,76,41,M,NY,USA,0:15:24,0:30:29,0:45:58,1:02:05,1:18:20,1:35:33,1:53:10,2:10:36,2:18:32
17,3,32,M,,KEN,0:15:24,0:30:27,0:45:43,1:01:15,1:16:59,1:33:24,1:51:32,2:10:44,2:19:33
18,30,29,M,NC,USA,0:15:40,0:31:21,0:47:19,1:03:27,1:19:53,1:36:38,1:53:54,2:11:36,2:20:12
19,31,29,M,MA,USA,0:16:10,0:32:34,0:48:54,1:05:17,1:21:45,1:38:34,1:55:48,2:12:51,2:20:18
20,F3,37,F,,KEN,0:17:46,0:34:58,0:51:55,1:08:50,1:25:51,1:42:40,1:58:41,2:14:43,2:21:52
21,81,42,M,,MEX,0:15:25,0:30:31,0:45:46,1:01:53,1:18:40,1:36:43,1:55:52,2:14:15,2:22:20
22,101,30,M,MA,USA,0:16:38,0:33:26,0:50:03,1:06:37,1:23:19,1:40:09,1:57:20,2:14:34,2:22:32
23,F11,27,F,,BRN,0:17:45,0:34:58,0:51:55,1:08:50,1:25:50,1:42:40,1:59:15,2:15:42,2:22:51
24,F23,25,F,OR,USA,0:17:45,0:34:58,0:51:55,1:08:50,1:25:51,1:42:41,1:59:26,2:15:54,2:23:00
25,182,31,M,MA,USA,0:16:28,0:33:18,0:49:55,1:06:31,1:23:13,1:40:12,1:57:40,2:15:14,2:23:05
26,33,36,M,MI,USA,0:16:31,0:32:58,0:49:26,1:06:01,1:22:32,1:39:45,1:57:41,2:15:14,2:23:12
27,28,28,M,MA,USA,0:16:37,0:33:27,0:50:14,1:06:52,1:23:29,1:40:14,1:57:24,2:15:27,2:23:26
28,53,28,M,TN,USA,0:16:20,0:32:48,0:49:34,1:06:26,1:23:23,1:40:53,1:58:45,2:16:07,2:23:51
29,43,39,M,CA,USA,0:16:37,0:33:29,0:50:20,1:07:19,1:24:35,1:42:05,1:59:45,2:16:21,2:24:27
30,37,25,M,MI,USA,0:17:10,0:34:33,0:52:07,1:09:30,1:26:44,1:43:54,2:01:02,2:17:33,2:24:40
31,54,29,M,MA,USA,0:16:37,0:33:27,0:50:03,1:06:38,1:23:19,1:40:15,1:58:09,2:16:27,2:24:49
32,39,37,M,MI,USA,0:16:04,0:32:25,0:48:49,1:05:31,1:24:47,1:42:13,1:59:55,2:17:22,2:25:02
33,F6,33,F,MI,USA,0:17:45,0:34:57,0:51:54,1:08:49,1:25:53,1:42:50,2:00:13,2:17:25,2:25:06
34,134,36,M,TX,USA,0:17:01,0:33:50,0:50:45,1:07:47,1:24:55,1:42:00,1:59:36,2:17:10,2:25:06
35,132,45,M,,BRA,0:16:57,0:33:49,0:50:46,1:07:52,1:25:13,1:42:51,2:00:36,2:17:39,2:25:15
36,151,26,M,CO,USA,0:17:26,0:34:45,0:52:10,1:09:31,1:26:38,1:43:40,2:01:03,2:18:13,2:25:35
37,77,40,M,MN,USA,0:16:38,0:33:27,0:50:15,1:07:24,1:24:35,1:42:14,2:00:19,2:18:06,2:26:00
38,123,27,M,MA,USA,0:17:10,0:34:26,0:51:50,1:09:10,1:26:16,1:43:21,2:00:54,2:18:49,2:26:40
39,44,35,M,AZ,USA,0:17:07,0:34:33,0:52:07,1:09:31,1:26:38,1:43:48,2:01:26,2:19:17,2:26:49
40,723,34,M,AB,CAN,0:16:18,0:33:01,0:50:13,1:07:45,1:25:14,1:43:19,2:01:16,2:18:57,2:26:52
41,34,32,M,UT,USA,0:15:50,0:32:00,0:48:40,1:05:47,1:23:00,1:40:27,1:58:54,2:18:05,2:26:58
